房源信息,价格,链接,地址,面积,朝向,规格,楼层,品牌,发布时间,亮点
整租·报春一村 2室1厅 南/北,4000元/月,/zufang/SH2333761502920065024.html,闵行-莘庄-报春一村,50㎡,南 北,2室1厅1卫,低楼层                        （6层）,贝壳优选,11天前发布,随时看房
整租·齐八小区 1室1厅 南,4000元/月,/zufang/SH2322968952290156544.html,浦东-世博-齐八小区,47㎡,南,1室1厅1卫,高楼层                        （6层）,贝壳优选,26天前发布,近地铁精装随时看房
整租·崮山小区二街坊 2室1厅 南,5400元/月,/zufang/SH2333802466522431488.html,浦东-洋泾-崮山小区二街坊,46㎡,南,2室1厅1卫,中楼层                        （6层）,贝壳优选,11天前发布,近地铁精装随时看房
整租·金杨新村三街坊 2室1厅 南,5600元/月,/zufang/SH2331038633760661504.html,浦东-金杨-金杨新村三街坊,58㎡,南,2室1厅1卫,低楼层                        （7层）,贝壳优选,15天前发布,近地铁随时看房
整租·高兴花园 2室1厅 南/北,4000元/月,/zufang/SH2326518928928407552.html,闵行-春申-高兴花园,67㎡,南 北,2室1厅1卫,高楼层                        （6层）,贝壳优选,12天前发布,精装随时看房
整租·天山华庭 2室2厅 南,11000元/月,/zufang/SH2330141108136312832.html,长宁-天山-天山华庭,91㎡,南,2室2厅1卫,低楼层                        （20层）,贝壳优选,15天前发布,近地铁随时看房
整租·新凯城银杏苑 3室2厅 南,3498元/月,/zufang/SH2331084547388604416.html,松江-泗泾-新凯城银杏苑,89㎡,南,3室2厅1卫,高楼层                        （18层）,贝壳优选,15天前发布,随时看房
整租·天山怡景苑 2室2厅 南,11200元/月,/zufang/SH2325251858815795200.html,长宁-天山-天山怡景苑,88㎡,南,2室2厅1卫,低楼层                        （15层）,贝壳优选,23天前发布,近地铁精装随时看房
整租·凌兆新村 2室1厅 南,5100元/月,/zufang/SH2329634634016759808.html,浦东-三林-凌兆新村,64㎡,南,2室1厅1卫,低楼层                        （6层）,贝壳优选,17天前发布,近地铁随时看房
整租·临沂八村 1室1厅 南,4500元/月,/zufang/SH2325920407133364224.html,浦东-南码头-临沂八村,40㎡,南,1室1厅1卫,中楼层                        （6层）,贝壳优选,22天前发布,近地铁精装随时看房
整租·莘松三村 1室1厅 南,4000元/月,/zufang/SH2331142758598705152.html,闵行-莘庄-莘松三村,35㎡,南,1室1厅2卫,中楼层                        （5层）,贝壳优选,1年前发布,精装双卫生间随时看房
整租·大盈公寓 3室2厅 南,3500元/月,/zufang/SH2334727300756537344.html,青浦-夏阳-大盈公寓,113㎡,南,3室2厅1卫,高楼层                        （6层）,贝壳优选,10天前发布,精装随时看房
整租·金杨六街坊 1室1厅 南,5300元/月,/zufang/SH2310668028020260864.html,浦东-金杨-金杨六街坊,52㎡,南,1室1厅1卫,中楼层                        （6层）,贝壳优选,1个月前发布,近地铁随时看房
整租·上海花城 2室2厅 南,11300元/月,/zufang/SH2324426854788251648.html,长宁-中山公园-上海花城,108㎡,南,2室2厅1卫,中楼层                        （11层）,贝壳优选,24天前发布,随时看房
整租·金杨七街坊 1室1厅 南,4550元/月,/zufang/SH2320057419327348736.html,浦东-金杨-金杨七街坊,49㎡,南,1室1厅1卫,中楼层                        （6层）,贝壳优选,1个月前发布,近地铁随时看房
整租·莘松五村 1室1厅 南,3600元/月,/zufang/SH2338321925232926720.html,闵行-莘庄-莘松五村,36㎡,南,1室1厅1卫,高楼层                        （5层）,贝壳优选,5天前发布,新上随时看房
整租·海院小区 1室1厅 南,4600元/月,/zufang/SH2326808256078413824.html,浦东-源深-海院小区,42㎡,南,1室1厅1卫,低楼层                        （6层）,贝壳优选,21天前发布,精装随时看房
整租·虹桥万博花园 2室2厅 南,12000元/月,/zufang/SH2336661211023671296.html,长宁-中山公园-虹桥万博花园,116㎡,南,2室2厅1卫,中楼层                        （28层）,贝壳优选,7天前发布,精装随时看房
整租·海院小区 1室1厅 南,4500元/月,/zufang/SH2338356475795619840.html,浦东-源深-海院小区,42㎡,南,1室1厅1卫,高楼层                        （6层）,贝壳优选,5天前发布,精装新上随时看房
整租·花苑村玉兰园 2室2厅 南/北,7300元/月,/zufang/SH2311637375119261696.html,徐汇-康健-花苑村玉兰园,77㎡,南 北,2室2厅1卫,高楼层                        （6层）,贝壳优选,1个月前发布,近地铁精装随时看房
整租·上南四村 1室1厅 南,4300元/月,/zufang/SH2324507293040771072.html,浦东-世博-上南四村,29㎡,南,1室1厅1卫,高楼层                        （5层）,贝壳优选,24天前发布,近地铁随时看房
整租·滨江名人苑 2室2厅 南,13300元/月,/zufang/SH2334136148202897408.html,黄浦-黄浦滨江-滨江名人苑,103㎡,南,2室2厅1卫,高楼层                        （31层）,贝壳优选,11天前发布,近地铁随时看房
整租·河风丽景 2室1厅 南,9900元/月,/zufang/SH2333319425895440384.html,长宁-天山-河风丽景,88㎡,南,2室1厅1卫,高楼层                        （19层）,贝壳优选,9天前发布,近地铁随时看房
整租·新汇公寓 2室1厅 东南,10000元/月,/zufang/SH2335285917499539456.html,徐汇-徐家汇-新汇公寓,93㎡,东南,2室1厅1卫,低楼层                        （22层）,贝壳优选,5天前发布,近地铁精装新上随时看房
整租·东渡青筑 2室1厅 南,3500元/月,/zufang/SH2333304693998501888.html,青浦-盈浦-东渡青筑,90㎡,南,2室1厅1卫,高楼层                        （15层）,贝壳优选,11天前发布,随时看房
整租·金外滩花园 3室2厅 南,17800元/月,/zufang/SH2334134814842044416.html,黄浦-黄浦滨江-金外滩花园,162㎡,南,3室2厅2卫,低楼层                        （27层）,贝壳优选,11天前发布,近地铁精装双卫生间随时看房
整租·上海花城 2室1厅 南,10300元/月,/zufang/SH2337394750401028096.html,长宁-中山公园-上海花城,100㎡,南,2室1厅1卫,高楼层                        （11层）,贝壳优选,6天前发布,近地铁新上随时看房
整租·金杨六街坊 2室1厅 南,5500元/月,/zufang/SH2337002332241534976.html,浦东-金杨-金杨六街坊,53㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,6天前发布,近地铁新上随时看房
整租·鑫都城云天绿洲 2室2厅 南,5500元/月,/zufang/SH2340442267010990080.html,闵行-颛桥-鑫都城云天绿洲,88㎡,南,2室2厅1卫,低楼层                        （17层）,贝壳优选,2天前发布,精装新上随时看房
整租·陆家嘴滨江公馆 1室1厅 南,6200元/月,/zufang/SH2341821121122541568.html,浦东-洋泾-陆家嘴滨江公馆,49㎡,南,1室1厅1卫,中楼层                        （29层）,贝壳优选,今天发布,精装新上随时看房
整租·绿庭尚城 1室1厅 南,5000元/月,/zufang/SH2342121738978205696.html,松江-九亭-绿庭尚城,70㎡,南,1室1厅1卫,高楼层                        （22层）,贝壳优选,今天发布,精装新上随时看房
整租·新虹桥雅苑 1室2厅 南,5600元/月,/zufang/SH2341070154219126784.html,青浦-徐泾-新虹桥雅苑,62㎡,南,1室2厅1卫,高楼层                        （14层）,贝壳优选,1天前发布,精装新上随时看房
整租·万泰花园 2室1厅 南,5500元/月,/zufang/SH2340524439122485248.html,闵行-七宝-万泰花园,67㎡,南,2室1厅1卫,中楼层                        （6层）,贝壳优选,2天前发布,精装新上随时看房
整租·爱博二村 2室2厅 南,7380元/月,/zufang/SH2341236061549625344.html,闵行-华漕-爱博二村,80㎡,南,2室2厅1卫,高楼层                        （13层）,贝壳优选,1天前发布,精装新上随时看房
整租·雪野二村 2室1厅 东,6300元/月,/zufang/SH2340386166273998848.html,浦东-世博-雪野二村,69㎡,东,2室1厅1卫,高楼层                        （16层）,贝壳优选,2天前发布,近地铁精装新上随时看房
整租·巨东小区 2室1厅 南,6200元/月,/zufang/SH2339856523960000512.html,浦东-洋泾-巨东小区,67㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,3天前发布,近地铁精装新上随时看房
整租·沁春园三村 2室2厅 南,6550元/月,/zufang/SH2339723612044664832.html,闵行-莘庄-沁春园三村,85㎡,南,2室2厅1卫,中楼层                        （6层）,贝壳优选,3天前发布,精装新上随时看房
整租·邻里苑 2室1厅 南,5850元/月,/zufang/SH2339955564966592512.html,闵行-莘庄-邻里苑,80㎡,南,2室1厅1卫,高楼层                        （17层）,贝壳优选,3天前发布,近地铁新上随时看房
整租·县左街20弄 1室1厅 南,6200元/月,/zufang/SH2339934462885756928.html,黄浦-豫园-县左街20弄,28㎡,南,1室1厅1卫,高楼层                        （7层）,贝壳优选,3天前发布,近地铁新上随时看房
整租·德州四村 2室0厅 南,6000元/月,/zufang/SH2339103701857746944.html,浦东-世博-德州四村,51㎡,南,2室0厅1卫,低楼层                        （6层）,贝壳优选,4天前发布,近地铁精装新上随时看房
整租·弘扬公寓 2室2厅 南,7300元/月,/zufang/SH2339109112131878912.html,浦东-金杨-弘扬公寓,95㎡,南,2室2厅1卫,高楼层                        （5层）,贝壳优选,4天前发布,新上随时看房
整租·水清年华花园 2室1厅 南,5400元/月,/zufang/SH2321113406100209664.html,闵行-七宝-水清年华花园,60㎡,南,2室1厅1卫,中楼层                        （11层）,贝壳优选,29天前发布,近地铁随时看房
整租·万科城市花园 1室1厅 南,4730元/月,/zufang/SH2332708503011205120.html,闵行-七宝-万科城市花园,42㎡,南,1室1厅1卫,高楼层                        （6层）,贝壳优选,13天前发布,近地铁精装随时看房
整租·梅陇二村 2室1厅 南/北,4800元/月,/zufang/SH2323121706769580032.html,闵行-梅陇-梅陇二村,60㎡,南 北,2室1厅1卫,低楼层                        （6层）,贝壳优选,26天前发布,近地铁随时看房
整租·东晶国际公寓 1室2厅 西南,8500元/月,/zufang/SH2319445848683192320.html,浦东-源深-东晶国际公寓,73㎡,西南,1室2厅1卫,高楼层                        （28层）,贝壳优选,1个月前发布,近地铁精装随时看房
整租·前滩东方逸品 1室1厅 西,7200元/月,/zufang/SH2314514893577404416.html,浦东-三林-前滩东方逸品,59㎡,西,1室1厅1卫,低楼层                        （33层）,贝壳优选,1个月前发布,精装随时看房
整租·蒲汇新村 2室1厅 南,4400元/月,/zufang/SH2328158759002062848.html,闵行-七宝-蒲汇新村,48㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,19天前发布,近地铁随时看房
整租·莘浜路157弄 2室1厅 南,4550元/月,/zufang/SH2321679093307293696.html,闵行-莘庄-莘浜路157弄,49㎡,南,2室1厅1卫,低楼层                        （6层）,贝壳优选,13天前发布,近地铁随时看房
整租·汇贤雅居 2室2厅 南/北,12000元/月,/zufang/SH2310886040082325504.html,徐汇-徐家汇-汇贤雅居,95㎡,南 北,2室2厅1卫,中楼层                        （22层）,贝壳优选,1个月前发布,近地铁精装随时看房
整租·象屿上海年华 2室2厅 南,4600元/月,/zufang/SH2326118987831975936.html,松江-莘闵别墅-象屿上海年华,82㎡,南,2室2厅1卫,中楼层                        （8层）,贝壳优选,19天前发布,精装随时看房
整租·万宇阳光苑 2室2厅 南,3700元/月,/zufang/SH2338972788720664576.html,松江-新桥-万宇阳光苑,87㎡,南,2室2厅1卫,高楼层                        （18层）,贝壳优选,4天前发布,精装新上随时看房
整租·欣德花苑 2室2厅 南,3800元/月,/zufang/SH2338911317865537536.html,松江-新桥-欣德花苑,104㎡,南,2室2厅2卫,中楼层                        （5层）,贝壳优选,4天前发布,精装双卫生间新上随时看房
整租·青春驿站 1室1厅 南,4200元/月,/zufang/SH2335560501469659136.html,松江-九亭-青春驿站,42㎡,南,1室1厅1卫,低楼层                        （11层）,贝壳优选,9天前发布,近地铁随时看房
整租·佳宝新村 1室1厅 南,4600元/月,/zufang/SH2333199637319516160.html,闵行-七宝-佳宝新村,38㎡,南,1室1厅1卫,低楼层                        （6层）,贝壳优选,12天前发布,近地铁精装随时看房
整租·上中西路767弄 2室1厅 南,4300元/月,/zufang/SH2319592903917445120.html,闵行-梅陇-上中西路767弄,55㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,1个月前发布,随时看房
整租·莘松二村 2室1厅 南,4300元/月,/zufang/SH2318121349807349760.html,闵行-莘庄-莘松二村,48㎡,南,2室1厅1卫,高楼层                        （5层）,贝壳优选,1个月前发布,精装随时看房
整租·龙柏二村 2室1厅 南,5800元/月,/zufang/SH2315673051850874880.html,闵行-龙柏-龙柏二村,54㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,1个月前发布,精装随时看房
整租·寿祥坊 2室1厅 南,4900元/月,/zufang/SH2341941152422297600.html,徐汇-康健-寿祥坊,55㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,今天发布,新上随时看房
整租·虹桥河滨花园 3室2厅 南,14500元/月,/zufang/SH2336221266065244160.html,长宁-中山公园-虹桥河滨花园,153㎡,南,3室2厅2卫,低楼层                        （31层）,贝壳优选,8天前发布,精装双卫生间随时看房
整租·杉林新月环林东路799弄 3室2厅 南/北,6800元/月,/zufang/SH2335547471285198848.html,浦东-三林-杉林新月环林东路799弄,93㎡,南 北,3室2厅1卫,高楼层                        （6层）,贝壳优选,9天前发布,近地铁精装随时看房
整租·莘松八村 2室1厅 南,4200元/月,/zufang/SH2321532325852356608.html,闵行-莘庄-莘松八村,62㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,28天前发布,随时看房
整租·象屿品城 2室2厅 南,4888元/月,/zufang/SH2325819341075128320.html,松江-九亭-象屿品城,82㎡,南,2室2厅1卫,中楼层                        （11层）,贝壳优选,17天前发布,精装随时看房
整租·鑫国家园 3室2厅 西南,14800元/月,/zufang/SH2334795582348476416.html,徐汇-徐家汇-鑫国家园,155㎡,西南,3室2厅2卫,中楼层                        （19层）,贝壳优选,10天前发布,近地铁精装双卫生间随时看房
整租·田林七村 1室0厅 南,4550元/月,/zufang/SH2341858300422782976.html,徐汇-田林-田林七村,34㎡,南,1室0厅1卫,高楼层                        （6层）,贝壳优选,今天发布,近地铁新上随时看房
整租·紫薇园 1室1厅 南,5400元/月,/zufang/SH2342006974482759680.html,徐汇-康健-紫薇园,71㎡,南,1室1厅1卫,低楼层                        （18层）,贝壳优选,今天发布,新上随时看房
整租·永新花苑 2室2厅 南,13888元/月,/zufang/SH2298567973617025024.html,徐汇-徐家汇-永新花苑,110㎡,南,2室2厅2卫,中楼层                        （34层）,贝壳优选,1个月前发布,近地铁精装双卫生间随时看房
整租·常兴家园 2室1厅 南,4500元/月,/zufang/SH2327520558671478784.html,闵行-春申-常兴家园,65㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,20天前发布,精装随时看房
整租·荣盛名邸(公寓) 2室1厅 南,4290元/月,/zufang/SH2333908463236677632.html,松江-莘闵别墅-荣盛名邸(公寓),87㎡,南,2室1厅1卫,高楼层                        （18层）,贝壳优选,9天前发布,随时看房
整租·团结花苑 2室2厅 南,5300元/月,/zufang/SH2315905539051364352.html,闵行-莘庄-团结花苑,81㎡,南,2室2厅1卫,中楼层                        （7层）,贝壳优选,1个月前发布,精装随时看房
整租·龙柏三村 2室1厅 南/北,6500元/月,/zufang/SH2321034880399441920.html,闵行-龙柏-龙柏三村,62㎡,南 北,2室1厅1卫,高楼层                        （6层）,贝壳优选,29天前发布,近地铁精装随时看房
整租·南极苑 3室1厅 南,6500元/月,/zufang/SH2325924168467480576.html,浦东-金桥-南极苑,77㎡,南,3室1厅1卫,低楼层                        （6层）,贝壳优选,19天前发布,随时看房
整租·名仕世家花苑 2室2厅 南,5350元/月,/zufang/SH2318112140760203264.html,闵行-颛桥-名仕世家花苑,89㎡,南,2室2厅1卫,中楼层                        （6层）,贝壳优选,1个月前发布,随时看房
整租·中梅苑 2室2厅 南,6800元/月,/zufang/SH2321470153919315968.html,闵行-梅陇-中梅苑,106㎡,南,2室2厅1卫,中楼层                        （24层）,贝壳优选,28天前发布,随时看房
整租·钦州路111弄 2室0厅 南,4600元/月,/zufang/SH2341859415453605888.html,徐汇-康健-钦州路111弄,46㎡,南,2室0厅1卫,高楼层                        （6层）,贝壳优选,今天发布,近地铁新上随时看房
整租·罗阳三村 2室1厅 南,4800元/月,/zufang/SH2314388672524320768.html,闵行-梅陇-罗阳三村,68㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,1个月前发布,精装随时看房
